item,reason
3696,no-data
3697,no-data
3698,no-data
3699,no-data
3695,no-data
3713,no-data
3705,no-data
3723,no-data
3724,no-data
3725,no-data
3746,no-data
3757,no-data
3773,no-data
3776,no-data
3788,no-data
3789,no-data
3774,no-data
3777,no-data
3790,no-data
3791,no-data
3810,no-data
3846,stale
3854,no-data
3855,no-data
3861,no-data
3865,no-data
3856,no-data
3882,no-data
3888,no-data
3884,no-data
3887,no-data
3885,no-data
3886,no-data
3893,no-data
3891,stale
3894,no-data
3883,no-data
3895,no-data
3896,no-data
3933,no-data
3934,no-data
3946,no-data
3948,no-data
3950,stale
3952,no-data
3949,no-data
3954,no-data
3953,no-data
3955,no-data
3951,no-data
3956,no-data
3957,no-data
3959,no-data
3958,no-data
3963,no-data
3964,no-data
3962,no-data
3974,no-data
3977,no-data
3969,no-data
3980,no-data
3981,no-data
3979,no-data
3978,no-data
3982,no-data
3983,no-data
3975,no-data
3984,no-data
3987,no-data
3988,no-data
3996,stale
4001,stale
4000,stale
3998,no-data
4004,stale
4003,no-data
4008,no-data
4012,no-data
4013,no-data
4009,no-data
4014,no-data
4010,no-data
4011,no-data
4015,no-data
4031,no-data
4033,no-data
4032,no-data
4030,no-data
4081,no-data
4097,no-data
4100,no-data
4141,no-data
4142,no-data
4101,no-data
4102,no-data
4145,no-data
4146,no-data
4143,no-data
4147,no-data
4095,no-data
4149,no-data
4148,no-data
4144,no-data
4153,no-data
4151,no-data
4150,no-data
4152,no-data
4155,no-data
4156,no-data
4160,no-data
4154,no-data
4159,no-data
4157,no-data
4163,no-data
4166,no-data
4162,no-data
4161,no-data
4164,no-data
4168,no-data
4173,no-data
4172,no-data
4174,no-data
4175,no-data
4183,no-data
4185,no-data
4182,no-data
4188,no-data
4189,no-data
4187,no-data
4184,no-data
4193,no-data
4191,no-data
4190,no-data
4186,no-data
4194,no-data
4195,no-data
4196,no-data
4198,no-data
4199,no-data
4203,no-data
4192,no-data
4200,no-data
4202,no-data
4205,no-data
4201,no-data
4204,no-data
4206,no-data
4210,no-data
4209,no-data
4211,no-data
4207,no-data
4208,no-data
4212,no-data
4214,no-data
4215,no-data
4225,no-data
4219,no-data
4226,no-data
4229,no-data
4224,no-data
4228,no-data
4230,no-data
4227,no-data
4222,no-data
4223,no-data
4267,no-data
4270,no-data
4269,no-data
4266,no-data
4279,no-data
4287,no-data
4280,no-data
4281,no-data
4277,no-data
4288,no-data
4295,no-data
4341,no-data
4376,no-data
4403,no-data
4418,no-data
4420,no-data
4423,no-data
4442,no-data
4451,no-data
4459,no-data
4460,no-data
4475,no-data
4471,no-data
4486,no-data
4501,no-data
4573,no-data
4574,no-data
4578,no-data
4579,no-data
4581,no-data
4587,no-data
4580,no-data
4588,no-data
4590,no-data
4591,no-data
4633,no-data
4634,no-data
4632,no-data
4636,no-data
4642,no-data
4637,no-data
4657,no-data
4638,no-data
4664,no-data
4667,no-data
4670,no-data
4673,no-data
4682,no-data
4685,no-data
4679,no-data
4756,no-data
4761,no-data
4768,no-data
4773,no-data
4774,no-data
4767,stale
4772,no-data
4780,stale
4779,no-data
4811,no-data
4812,no-data
4815,no-data
4842,no-data
4853,no-data
4874,no-data
4860,no-data
4865,no-data
4876,no-data
4877,no-data
4899,no-data
4879,no-data
4900,no-data
4880,no-data
4901,no-data
4875,no-data
4912,no-data
4955,no-data
4902,no-data
4934,no-data
4959,no-data
4985,no-data
4993,no-data
4994,no-data
4996,no-data
4997,no-data
4991,no-data
5000,no-data
5004,no-data
5024,no-data
5031,no-data
5033,no-data
5034,no-data
5036,no-data
5035,no-data
5032,no-data
5014,no-data
5013,no-data
5039,no-data
5037,no-data
5042,no-data
5041,no-data
5045,no-data
5047,no-data
5070,no-data
5091,no-data
5090,no-data
5108,no-data
5106,no-data
5105,no-data
5121,no-data
5125,no-data
5127,no-data
5126,no-data
5129,no-data
5130,no-data
5131,no-data
5132,no-data
5139,no-data
5141,no-data
5142,no-data
5146,no-data
5145,no-data
5147,no-data
5140,no-data
5148,no-data
5144,no-data
5151,no-data
5150,no-data
5153,no-data
5154,no-data
5149,no-data
5156,no-data
5155,no-data
5157,no-data
5152,no-data
5158,no-data
5160,no-data
